date,entities_hashtags_count_dict
2022-12-25,"{台湾 -> 40, 台南 -> 22, streetphotography -> 22, photography -> 20, nature -> 17, blackandwhitephotography -> 15, NaturePhotography -> 14}"
2022-11-29,"{photography -> 18, nature -> 15, blackandwhitephotography -> 12, blackandwhitephoto -> 11, art -> 11, Portrait -> 11, Art -> 10}"
2022-12-09,"{streetphotography -> 16, blackandwhitephotography -> 13}"
2022-12-02,"{photography -> 13, blackandwhitephotography -> 12, blackandwhitephoto -> 12, blackandwhite -> 11, SIGMAfpL -> 11, SIGMA -> 11, NaturePhotography -> 10, 85mmf14dgdn -> 10}"
2022-12-20,"{台湾 -> 28, 台南 -> 28, streetphotography -> 19, photography -> 17, nature -> 17, NaturePhotography -> 15}"
2022-12-11,"{台湾 -> 44, 台南 -> 28, イマソラ -> 22, streetphotography -> 18, photooftheday -> 17, photography -> 12, photo -> 11, blackandwhitephotography -> 10, blackandwhite -> 10}"
2022-12-28,"{台湾 -> 27, 台南 -> 13, streetphotography -> 11, blackandwhitephotography -> 10, blackandwhite -> 10, NFT -> 10, Art -> 10}"
2022-12-19,"{写真好きな人と繋がりたい -> 41, streetphotography -> 30, portugal -> 29, photography -> 22, photo -> 17, nature -> 16, lisbon -> 14, blackandwhitephotography -> 13, blackandwhitephoto -> 13, blackandwhite -> 11, Stromboli -> 11, NaturePhotography -> 10}"
2022-12-29,"{台湾 -> 34, 台南 -> 27, streetphotography -> 27, photography -> 23, blackandwhitephotography -> 17, art -> 11, LightandShade -> 11}"
2023-01-02,{blackandwhitephotography -> 12}
2022-12-08,"{streetphotography -> 17, photography -> 14, blackandwhitephotography -> 11, Vermont -> 10}"
2023-01-28,"{streetphotography -> 28, photography -> 20, nature -> 20, blackandwhitephotography -> 15, blackandwhitephoto -> 14, NaturePhotography -> 11}"
2022-12-06,"{tezos -> 56, streetphotography -> 46, photooftheday -> 25, photography -> 23, photo -> 18, estoesloqueveo -> 17, bw -> 14, bnw -> 13, blackandwhitephoto -> 12, blackandwhite -> 12, Switzerland -> 11, Suisse -> 11, Portugal -> 11, Olsztyn -> 11, Germany -> 10, Geneva -> 10}"
2022-11-23,"{photography -> 23, nature -> 13, botd -> 12, 2022Moods -> 10}"
2022-12-26,"{台湾 -> 57, 台南 -> 37, 写真好きな人と繋がりたい -> 19, 写真で伝える私の世界 -> 18, 写真 -> 15, ファインダー越しの私の世界 -> 14, streetphotography -> 12, photography -> 12, photo -> 12, nature -> 12, blackandwhitephotography -> 11, blackandwhite -> 11, art -> 10, abstract -> 10, NaturePhotography -> 10}"
2022-12-17,"{新生活 -> 28, 台湾 -> 26, 台南 -> 26, streetphotography -> 24, photography -> 22, photo -> 20, nature -> 20, monochrome -> 16, lisbon -> 15, landscapephotography -> 13, landscape -> 13, fujifilm_xseries -> 12, blackandwhitephotography -> 12, blackandwhite -> 11, NaturePhotography -> 11}"
2022-12-05,"{blackandwhitephotography -> 15, LightandShade -> 11}"
2022-12-10,"{streetphotography -> 48, picoftheday -> 29, photography -> 27, photograph -> 26, nature -> 23, like4like -> 16, kraków -> 16, instagram -> 16, instagood -> 16, followme -> 16, follow -> 16, blackandwhitephotography -> 16, blackandwhite -> 16, beautiful -> 16, art -> 15, Opensea -> 13, NaturePhotography -> 12, NFT -> 11, 2022Moods -> 10}"
2022-12-04,"{streetphotography -> 15, photography -> 13, ThePhotoHour -> 12}"
2022-11-28,"{streetphotography -> 28, portugal -> 19, photography -> 16, blackandwhitephotography -> 16, art -> 10}"
2022-11-24,"{streetphotography -> 25, photography -> 17, nature -> 10, art -> 10}"
2023-01-12,"{台湾 -> 31, 台南 -> 31, streetphotography -> 15, photography -> 13, blackandwhitephotography -> 13}"
2022-12-21,"{photography -> 12, nature -> 10, NaturePhotography -> 10}"
2023-01-25,"{台湾 -> 15, 台南 -> 15}"
2023-01-21,"{台湾 -> 87, 台南 -> 83, streetphotography -> 59, photography -> 51, nature -> 24, monochromephotography -> 23, monochrome -> 22, mobileshot -> 18, fujifilm_xseries -> 16, bnwphotography -> 12, blackandwhitephotography -> 11, art -> 11, architecture -> 11, abstractart -> 11, NaturePhotography -> 11, Cityscape -> 10}"
2023-01-05,"{台湾 -> 31, 台南 -> 30, streetphotography -> 20, photography -> 20, nature -> 18, monochrome -> 17, blackandwhitephotography -> 16, art -> 16, NaturePhotography -> 11, LightandShade -> 10}"
2022-12-27,"{台湾 -> 38, 台南 -> 29, streetphotography -> 25, photography -> 22, nature -> 22, blackandwhitephotography -> 14}"
2022-12-15,"{台湾 -> 21, 台南 -> 20, streetphotography -> 20, sigma -> 16, portugal -> 16, photography -> 14, nature -> 14, lisbon -> 13, leicasl2 -> 13, leica -> 12, blackandwhitephotography -> 12, blackandwhite -> 12, NaturePhotography -> 11, 90mmf28dgdn -> 11}"
